gear,wt,mpg,mpg-prediction
4,2.62,21.0,24.510455071959058
4,2.875,21.0,22.76026807682699
4,2.32,22.8,26.569498595643847
4,3.19,24.4,20.59827237695796
4,3.15,22.8,20.872811513449268
4,3.44,19.2,18.882402773887303
4,3.44,17.8,18.882402773887303
4,2.2,32.4,27.39311600511776
4,1.615,30.4,31.4082508763031
4,1.835,33.9,29.89828562560092
4,1.935,27.3,29.211937784372658
4,2.78,21.4,23.41229852599384
3,3.215,21.4,18.24575076879608
3,3.44,18.7,17.535458674671055
3,3.46,18.1,17.472321599637716
3,3.57,14.3,17.125067686954374
3,4.07,16.4,15.546640811120986
3,3.73,17.3,16.61997108668769
3,3.78,15.2,16.46212839910435
3,5.25,10.4,11.821553384154196
3,5.424,10.4,11.272260831364175
3,5.345,14.7,11.521652277745854
3,2.465,21.5,20.613391082546155
3,3.52,15.5,17.282910374537714
3,3.435,15.2,17.551242943429386
3,3.84,13.3,16.272717174004345
3,3.845,19.2,16.25693290524601
5,2.14,26.0,25.34362502587085
5,1.513,30.4,30.38867758620586
5,3.17,15.8,17.055899129307758
5,2.77,19.7,20.274433458070124
5,3.57,15.0,13.83736480054539
